Heure Debut;Heure Fin;Salle;Nom du cours;Intervenant;Valeur brute champ,Libellé.Service
08:15:00;10:15:00;339;Supply chain management and Big Data;AUBERT-BAUDEQUIN Catherine;Audencia Bachelor
10:30:00;12:30:00;339;Fondamentaux du Droit;AUDRAN-LY ANNE;Grande Ecole 1A
14:00:00;16:00:00;339;Digital Transformation;EL AMRANI REDOUANE;DRED-FC / Grande Ecole / Grande Ecole 1A / Grande Ecole 2A / Grande Ecole 3A
18:15:00;20:15:00;339;Soutien Allemand;FEIGE-LANGONNET Ludmila;Grande Ecole 2A
08:15:00;10:15:00;340;Anglais;TAYLOR ANDREW;Grande Ecole 2A
10:30:00;12:30:00;340;Advanced English Programme;DUBOURG Claire;Grande Ecole 1A
14:00:00;16:00:00;340;Anglais;LIGTENBERG Tina;Grande Ecole 2A
16:15:00;18:15:00;340;Anglais;LIGTENBERG Tina;Grande Ecole 2A
08:15:00;10:15:00;343;Strategizing and ethical challenges;CASTRO Jean-Luc;Grande Ecole 2A
10:30:00;12:30:00;343;Ecology & Biodiversity : Dynamics & Auditing;TAIBI SOUAD;Grande Ecole 2A
14:00:00;16:00:00;343;Strategic management;SU Peiran;Grande Ecole 2A
16:15:00;18:15:00;343;Marchés financiers;MAURICE STEPHANIE;Grande Ecole 1A
18:15:00;20:15:00;343;Français (Fall 2024);QUELIER Alizée;Grande Ecole 2A
08:15:00;10:15:00;346;Anglais;GROSS Nancy;Grande Ecole 2A
10:30:00;12:30:00;346;Anglais;GROSS Nancy;Grande Ecole 2A
08:15:00;10:15:00;347;Techniques Quantitatives de Gestion;BATRAK OLGA;Grande Ecole 1A
10:30:00;12:30:00;347;Financial analysis;HONSEL Tiphaine;Grande Ecole 2A
14:00:00;16:00:00;347;Ecology & Biodiversity : Dynamics & Auditing;TAIBI SOUAD;Grande Ecole 2A
16:15:00;18:15:00;347;Comptabilité Financière;GEYER DOMINIQUE;Grande Ecole 1A
18:15:00;20:15:00;347;Français (Fall 2024);BOURGEAIS Isabelle;Grande Ecole 2A
08:15:00;10:15:00;35;Espagnol;BONANSCO-DANIEL Francesca;Grande Ecole 2A
10:30:00;12:30:00;35;Foundational English Programme ;DENIS Christina;Grande Ecole 1A
14:00:00;16:00:00;35;Foundational English Programme ;DENIS Christina;Grande Ecole 1A
10:30:00;12:30:00;350;Espagnol;SALAZAR DELGADO Carolina;Grande Ecole 2A
14:00:00;16:00:00;350;Anglais;GROSS Nancy;Grande Ecole 2A
16:15:00;18:15:00;350;Anglais;COCAUD Sophie;Grande Ecole 2A
08:15:00;10:15:00;351;Management control;MYLLYMAKI Emma-Riikka;Grande Ecole 2A
10:30:00;12:30:00;351;Contrôle de gestion;MOINARD CHRISTIAN;Grande Ecole 2A
14:00:00;16:00:00;351;Business Simulation;VYAS Hitesh;Grande Ecole 2A
16:15:00;18:15:00;351;Strategic management;SU Peiran;Grande Ecole 2A
18:15:00;20:15:00;351;Français (Fall 2024);WEISSMANN Caroline;Grande Ecole 2A
09:00:00;12:30:00;435;Pilotage de la transformation: les principes de la CSRD;SCUILLER Carole;Formation Continue
14:00:00;17:30:00;435;La transformation au niveau de la gouvernance;GIRARD-GUERRAUD CARINE;Formation Continue
08:15:00;10:15:00;437;Financial Markets;RONCHETTI Diego;Grande Ecole 1A
10:30:00;12:30:00;437;Analyse financière;DUPERRAY Estelle;Grande Ecole 2A
14:00:00;16:00:00;437;Financial analysis;ROUSSEAU Simon;Grande Ecole 2A
16:15:00;18:15:00;437;Financial analysis;ROUSSEAU Simon;Grande Ecole 2A
08:15:00;10:15:00;441;Financial analysis;MEZERET THIERRY;Grande Ecole 2A
10:30:00;12:30:00;441;Expérience client et image de marque;DEBSKI Valérie;Grande Ecole 2A
14:00:00;16:00:00;441;Financial analysis;HSISSOU Hind;Grande Ecole 2A
08:15:00;10:15:00;443;Fondamentaux du Droit;AUDRAN-LY ANNE;Grande Ecole 1A
10:30:00;12:30:00;443;Strategizing and ethical challenges;CASTRO Jean-Luc;Grande Ecole 2A
14:00:00;16:00:00;443;Strategizing and ethical challenges;CASTRO Jean-Luc;Grande Ecole 2A
16:15:00;18:15:00;443;Strategizing and ethical challenges;CASTRO Jean-Luc;Grande Ecole 2A
09:30:00;13:00:00;447;Manager son équipe;KAPITSKAIA OLGA;Formation Continue
14:00:00;17:30:00;447;Manager son équipe;KAPITSKAIA OLGA;Formation Continue
09:00:00;12:00:00;451;Data analytics;KALAITZOGLOU IORDANIS;Formation Continue / MBA
14:00:00;17:30:00;451;Human Resources Management;NASCHBERGER CHRISTINE;Formation Continue / MBA
08:00:00;09:00:00;452;Développer la dynamique du groupement GIPHAR;BERG Laurence;Formation Continue
09:00:00;12:30:00;452;Développer la dynamique du groupement GIPHAR;BERG Laurence;Formation Continue
14:00:00;17:30:00;452;Développer la dynamique du groupement GIPHAR;BERG Laurence;Formation Continue
10:30:00;12:30:00;A262;Techniques Quantitatives de Gestion;BATRAK OLGA;Grande Ecole 1A
14:00:00;16:00:00;A262;Contrôle de gestion;CHARLES François;Grande Ecole 2A
08:15:00;10:15:00;A270;Analyse financière;DUPERRAY Estelle;Grande Ecole 2A
10:30:00;12:30:00;A270;Financial analysis;MEZERET THIERRY;Grande Ecole 2A
14:00:00;16:00:00;A270;Techniques Quantitatives de Gestion;BATRAK OLGA;Grande Ecole 1A
10:30:00;12:30:00;A480;Management control;MYLLYMAKI Emma-Riikka;Grande Ecole 2A
14:00:00;16:00:00;A480;Comptabilité Financière;GEYER DOMINIQUE;Grande Ecole 1A
10:30:00;12:30:00;A54;Introduction à la Transition Ecologique et Sociale;VAILLAND Eloïse;Grande Ecole 1A
08:15:00;10:15:00;A70;Green Logistics Management;MEQDADI Osama;Grande Ecole 3A
10:30:00;12:30:00;A70;Green Logistics Management;MEQDADI Osama;Grande Ecole 3A
08:15:00;10:15:00;A72;Anglais;MEEHAN Shaun;Grande Ecole 2A
10:30:00;12:30:00;A72;Anglais;MEEHAN Shaun;Grande Ecole 2A
14:00:00;16:00:00;A72;Anglais;LUCAS Elnette;Grande Ecole 2A
16:15:00;18:15:00;A72;Culture Allemande;WOLKE Maria;Grande Ecole 1A
08:15:00;10:15:00;A75;Anglais;LUCAS Elnette;Grande Ecole 2A
10:30:00;12:30:00;A75;Anglais;LUCAS Elnette;Grande Ecole 2A
14:00:00;16:00:00;A75;Culture Allemande;BORCK Katja;Grande Ecole 1A
18:15:00;20:15:00;A75;Soutien Espagnol;SERGENT Iris margarita;Grande Ecole 2A
